CustomerID,Country,PreferredCountry,Profession,Age,AgeBand,FamilySize,MaritalStatus,Education,FirstPurchaseDate,LastPurchaseDate,CustomerLifespanDays,Recency,Frequency,Monetary,AvgBasketValue,AvgItemsPerOrder,TotalQuantity,UniqueProductsPurchased,PreferredTimeOfDay,PreferredWeekday,PreferredPriceBand,PreferredBasketType,R_Score,F_Score,M_Score,RFM_Total,RFM_Score,Segment,SpendingBand,FrequencyBand
12346,United Kingdom,United Kingdom,Pharmacist,52,45-54,4,Married,Postgrad,2011-01-18T10:01:00Z,2011-01-18T10:01:00Z,0,326.1173611111111,1,77183.6,77183.6,74215,74215,1,Morning,Tuesday,Mid,Large Basket,5,1,5,11,515,Promising,Premium Value,One-Time
12347,Iceland,Iceland,Unknown,52,45-54,3,Single,Postgrad,2010-12-07T14:57:00Z,2011-12-07T15:52:00Z,365.03819444444446,2.873611111111111,7,4310,615.7142857142857,351.14285714285717,2458,103,Afternoon,Tuesday,Mid,Medium Basket,1,5,5,11,155,At Risk,High Value,Frequent
12348,Finland,Finland,Unknown,32,25-34,2,Divorced,Postgrad,2010-12-16T19:09:00Z,2011-09-25T13:13:00Z,282.7527777777778,75.98402777777778,4,1797.24,449.31,585.25,2341,22,Evening,Thursday,Low,Large Basket,4,4,4,12,444,Champions,Medium Value,Occasional
12349,Italy,Italy,Pharmacist,54,45-54,3,Widow,Postgrad,2011-11-21T09:51:00Z,2011-11-21T09:51:00Z,0,19.124305555555555,1,1757.55,1757.55,631,631,73,Morning,Monday,Mid,Medium Basket,2,1,4,7,214,Big Spenders Lost,Medium Value,One-Time
12350,Norway,Norway,Doctor,34,25-34,3,Widow,Postgrad,2011-02-02T16:01:00Z,2011-02-02T16:01:00Z,0,310.8673611111111,1,334.4,334.4,197,197,17,Afternoon,Wednesday,Mid,Medium Basket,5,1,2,8,512,Promising,Low Value,One-Time
12352,Norway,Norway,Doctor,46,45-54,4,Widow,Postgrad,2011-02-16T12:33:00Z,2011-11-03T14:37:00Z,260.0861111111111,36.925694444444446,8,2506.04,313.255,67,536,59,Afternoon,Tuesday,Mid,Small Basket,3,5,5,13,355,Loyal Customers,High Value,Frequent
12353,Bahrain,Bahrain,Teacher,44,35-44,4,Single,Undergrad,2011-05-19T17:47:00Z,2011-05-19T17:47:00Z,0,204.79375,1,89,89,20,20,4,Evening,Thursday,High,Medium Basket,5,1,1,7,511,Promising,Low Value,One-Time
12354,Spain,Spain,Pharmacist,38,35-44,4,Married,Postgrad,2011-04-21T13:11:00Z,2011-04-21T13:11:00Z,0,232.98541666666668,1,1079.4,1079.4,530,530,58,Afternoon,Thursday,Mid,Medium Basket,5,1,4,10,514,Promising,Medium Value,One-Time
12355,Bahrain,Bahrain,Pharmacist,35,35-44,4,Widow,Postgrad,2011-05-09T13:49:00Z,2011-05-09T13:49:00Z,0,214.95902777777778,1,459.4,459.4,240,240,13,Afternoon,Monday,Mid,Medium Basket,5,1,2,8,512,Promising,Low Value,One-Time
12356,Portugal,Portugal,Pharmacist,37,35-44,5,Married,Postgrad,2011-01-18T09:50:00Z,2011-11-17T08:40:00Z,302.9513888888889,23.17361111111111,3,2811.43,937.1433333333333,530.3333333333334,1591,53,Morning,Tuesday,Mid,Large Basket,2,3,5,10,235,At Risk,High Value,Occasional
12357,Switzerland,Switzerland,Pharmacist,39,35-44,4,Widow,Postgrad,2011-11-06T16:07:00Z,2011-11-06T16:07:00Z,0,33.863194444444446,1,6207.67,6207.67,2708,2708,131,Afternoon,Sunday,Mid,Medium Basket,3,1,5,9,315,Promising,Premium Value,One-Time
12358,Austria,Austria,Engineer,44,35-44,4,Divorced,Postgrad,2011-07-12T10:04:00Z,2011-12-08T10:26:00Z,149.01527777777778,2.1,2,1168.0600000000002,584.0300000000001,124,248,13,Morning,Tuesday,High,Medium Basket,1,2,4,7,124,Big Spenders Lost,Medium Value,Occasional
12359,Cyprus,Cyprus,Doctor,37,35-44,5,Married,Postgrad,2011-01-12T12:43:00Z,2011-10-13T12:47:00Z,274.0027777777778,58.00208333333333,4,6372.58,1593.145,405.5,1622,214,Afternoon,Thursday,Mid,Medium Basket,3,4,5,12,345,Loyal Customers,Premium Value,Occasional
