InvoiceNo,CustomerID,Country,InvoiceDate,YearMonth,YearQuarter,NumLineItems,NumItems,NumUniqueProducts,InvoiceValue,AvgItemPrice,AvgCustomerAge,FamilySize,Profession,MaritalStatus,Education,DominantTimeOfDay,BasketValueBand
536365,17850,United Kingdom,2010-12-01T08:26:00Z,2010-12,2010-Q4,7,40,7,139.12,3.91,52.285714285714285,1,Unknown,Single,Postgrad,Morning,Medium Value
536366,17850,United Kingdom,2010-12-01T08:28:00Z,2010-12,2010-Q4,2,12,2,22.200000000000003,1.85,44.5,3,Pharmacist,Married,Postgrad,Morning,Low Value
536367,13047,United Kingdom,2010-12-01T08:34:00Z,2010-12,2010-Q4,12,83,12,278.73,4.8533333333333335,40.833333333333336,2,Unknown,Divorced,Undergrad,Morning,Medium Value
536368,13047,United Kingdom,2010-12-01T08:34:00Z,2010-12,2010-Q4,4,15,4,70.05000000000001,4.775,42.25,5,Doctor,Widow,Postgrad,Morning,Low Value
536369,13047,United Kingdom,2010-12-01T08:35:00Z,2010-12,2010-Q4,1,3,1,17.85,5.95,48,4,Pharmacist,Married,Postgrad,Morning,Low Value
536370,12583,France,2010-12-01T08:45:00Z,2010-12,2010-Q4,20,449,20,855.86,2.7645,39.1,3,Pharmacist,Married,Postgrad,Morning,High Value
536371,13748,United Kingdom,2010-12-01T09:00:00Z,2010-12,2010-Q4,1,80,1,204,2.55,47,3,Pharmacist,Married,Postgrad,Morning,Medium Value
536372,17850,United Kingdom,2010-12-01T09:01:00Z,2010-12,2010-Q4,2,12,2,22.200000000000003,1.85,44,3,Doctor,Widow,Postgrad,Morning,Low Value
536373,17850,United Kingdom,2010-12-01T09:02:00Z,2010-12,2010-Q4,16,88,16,259.86,3.319375,45.375,2,Unknown,Single,Undergrad,Morning,Medium Value
536374,15100,United Kingdom,2010-12-01T09:09:00Z,2010-12,2010-Q4,1,32,1,350.4,10.95,47,3,Doctor,Married,Postgrad,Morning,High Value
536375,17850,United Kingdom,2010-12-01T09:32:00Z,2010-12,2010-Q4,16,88,16,259.86,3.319375,44.375,1,Unknown,Divorced,Undergrad,Morning,Medium Value
536376,15291,United Kingdom,2010-12-01T09:32:00Z,2010-12,2010-Q4,2,112,2,328.8,3,41,5,Doctor,Married,Postgrad,Morning,High Value
536377,17850,United Kingdom,2010-12-01T09:34:00Z,2010-12,2010-Q4,2,12,2,22.200000000000003,1.85,45.5,4,Pharmacist,Widow,Postgrad,Morning,Low Value
536378,14688,United Kingdom,2010-12-01T09:37:00Z,2010-12,2010-Q4,19,454,19,444.98,1.7552631578947369,41,5,Doctor,Married,Postgrad,Morning,High Value
536380,17809,United Kingdom,2010-12-01T09:41:00Z,2010-12,2010-Q4,1,24,1,34.8,1.45,54,4,Pharmacist,Widow,Postgrad,Morning,Low Value
536381,15311,United Kingdom,2010-12-01T09:41:00Z,2010-12,2010-Q4,35,198,34,449.98,2.52,42.285714285714285,5,Pharmacist,Widow,Postgrad,Morning,High Value
536382,16098,United Kingdom,2010-12-01T09:45:00Z,2010-12,2010-Q4,12,134,12,430.6,5.970833333333333,39.333333333333336,2,Business,Married,Postgrad,Morning,High Value
536384,18074,United Kingdom,2010-12-01T09:53:00Z,2010-12,2010-Q4,13,190,13,489.6,4.780769230769231,39.76923076923077,1,Unknown,Married,Undergrad,Morning,High Value
536385,17420,United Kingdom,2010-12-01T09:56:00Z,2010-12,2010-Q4,7,53,7,130.85,5.571428571428571,44.857142857142854,4,Doctor,Married,Postgrad,Morning,Medium Value
536386,16029,United Kingdom,2010-12-01T09:57:00Z,2010-12,2010-Q4,3,236,3,508.20000000000005,2.75,51.666666666666664,1,Unknown,Single,Postgrad,Morning,High Value
536387,16029,United Kingdom,2010-12-01T09:58:00Z,2010-12,2010-Q4,5,1440,5,3193.92,2.652,36.8,5,Unknown,Married,Postgrad,Morning,Very High Value
536388,16250,United Kingdom,2010-12-01T09:59:00Z,2010-12,2010-Q4,14,108,14,226.14,3.3764285714285713,38.214285714285715,4,Doctor,Widow,Postgrad,Morning,Medium Value
536389,12431,Australia,2010-12-01T10:03:00Z,2010-12,2010-Q4,14,107,14,358.25,5.2785714285714285,44.142857142857146,3,Pharmacist,Married,Postgrad,Morning,High Value
536390,17511,United Kingdom,2010-12-01T10:19:00Z,2010-12,2010-Q4,24,1568,24,1825.74,2.452916666666667,43.583333333333336,3,Pharmacist,Married,Postgrad,Morning,Very High Value
536392,13705,United Kingdom,2010-12-01T10:29:00Z,2010-12,2010-Q4,10,103,10,318.14,18.399,36.3,5,Pharmacist,Married,Postgrad,Morning,High Value
